,Awake,Stage 1,Stage 2,Stage 3/4,REM
Awake,,0.010165111532293332,0.12092724887009765,0.24542879142107346,0.02205715118821986
Stage 1,0.010165111532293332,,0.06097135150896632,0.15920360240976403,0.002274748505613068
Stage 2,0.12092724887009765,0.06097135150896632,,0.02653607486514069,0.039692374981775747
Stage 3/4,0.24542879142107346,0.15920360240976403,0.02653607486514069,,0.12489068715764479
REM,0.02205715118821986,0.002274748505613068,0.039692374981775747,0.12489068715764479,
