,Awake,Stage 1,Stage 2,Stage 3/4,REM
Awake,0.0,1.8006231608287782,2.4067152705195105,1.9524137040760265,2.606784510611597
Stage 1,1.8006231608287782,0.0,0.6060921096907322,0.2306886509138818,0.8061613497828187
Stage 2,2.4067152705195105,0.6060921096907322,0.0,0.3488462526014803,0.20006924009208657
Stage 3/4,1.9524137040760265,0.2306886509138818,0.3488462526014803,0.0,0.5401490362861631
REM,2.606784510611597,0.8061613497828187,0.20006924009208657,0.5401490362861631,0.0
