,Awake,Stage 1,Stage 2,Stage 3/4,REM
Awake,0.0,0.9826930322170125,3.389408302736523,4.828636990394078,1.4475597959603903
Stage 1,0.9826930322170125,0.0,2.4067152705195105,3.889002729354607,0.4648667637433778
Stage 2,3.389408302736523,2.4067152705195105,0.0,1.5877427726771,1.9418485067761326
Stage 3/4,4.828636990394078,3.889002729354607,1.5877427726771,0.0,3.444505084910785
REM,1.4475597959603903,0.4648667637433778,1.9418485067761326,3.444505084910785,0.0
