,Awake,Stage 1,Stage 2,Stage 3/4,REM
Awake,,0.03412888176118969,0.06097135150896632,0.040125466019619686,0.07152974194488994
Stage 1,0.03412888176118969,,0.00386681732030908,0.0005601816174785981,0.006841011809301644
Stage 2,0.06097135150896632,0.00386681732030908,,0.0012809863995167977,0.0004213442192739471
Stage 3/4,0.040125466019619686,0.0005601816174785981,0.0012809863995167977,,0.0030711682252723234
REM,0.07152974194488994,0.006841011809301644,0.0004213442192739471,0.0030711682252723234,
