,Awake,Stage 1,Stage 2,Stage 3/4,REM
Awake,1.0,1.0,1.0,0.029700609344722247,1.0
Stage 1,1.0,1.0,1.0,0.0017479327961828824,1.0
Stage 2,1.0,1.0,1.0,0.17577252146410322,0.708390958580692
Stage 3/4,0.029700609344722247,0.0017479327961828824,0.17577252146410322,1.0,0.00041002520911313984
REM,1.0,1.0,0.708390958580692,0.00041002520911313984,1.0
